SMILES,IC50
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCC1CCCCO1)C#N,5.01
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCCn1cccn1)C#N,5.01
COCC(C)CNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,5.01
COCC1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.01
COC1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.01
COCCC1(CC1)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1F)C#N,5.01
COCCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.01
COC(C)CCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,5.01
COCC1CCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.01
COc1cc(ccc1C#N)-c1cnn(c1O)-c1ccc(cn1)C(=O)NCC1CCOCC1,5.01
COc1cc(ccn1)-c1cnn(c1O)-c1ccc(cn1)C(=O)N[C@@H]1CC[C@H](C)CC1,5.01
COc1cc(ccn1)-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCC1CCCCO1,5.01
CCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.01
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCC(C1)N1CCOCC1)C#N,5.13
CC(C)N1CCN(C[C@@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,5.13
CN1CCN(CC11CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.13
CCN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,5.13
CCN1CCN(C[C@@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.16
Cc1cc(C#N)c(F)cc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN(CC1)C1CC1,5.25
CN(C1CC1)[C@@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.25
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(nc2)C(F)(F)F)c1=O,5.3
CCN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,5.37
OC(=O)CNC(=O)c1c(O)c2COCCc2n(Cc2nc3ccccc3s2)c1=O,5.4
OC(=O)CNC(=O)c1c(O)c2cccc3NC(Cn(c23)c1=O)c1ccc(nc1)C(F)(F)F,5.4
OC(=O)CNC(=O)c1c(O)c2COCCc2n(Cc2nc3ccccc3s2)c1=O,5.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)-c1cc[nH]n1,5.4
CN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,5.5
C[C@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.5
Oc1nc(ncc1C(=O)NCc1ccc(OC(F)(F)F)cc1)-n1cccn1,5.6
CCN1CCN(C[C@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.62
COCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(C)c1C,5.75
OC(=O)CNC(=O)c1c(O)c2COCc2n(-c2ccc(cc2)C(F)(F)F)c1=O,5.8
